address,name,signature
12790824,NetWorkUnit.OnError$$Invoke,"void NetWorkUnit_OnError__Invoke (NetWorkUnit_OnError_o* __this, int32_t ret, int32_t errorcode, System_String_o* errormsg, uint32_t id, const MethodInfo* method);"
12790844,NetWorkUnit.OnError$$BeginInvoke,"System_IAsyncResult_o* NetWorkUnit_OnError__BeginInvoke (NetWorkUnit_OnError_o* __this, int32_t ret, int32_t errorcode, System_String_o* errormsg, uint32_t id, System_AsyncCallback_o* callback, Il2CppObject* object, const MethodInfo* method);"
12791080,NetWorkUnit.OnError$$EndInvoke,"void NetWorkUnit_OnError__EndInvoke (NetWorkUnit_OnError_o* __this, System_IAsyncResult_o* result, const MethodInfo* method);"
12791092,NetWorkUnit.OnConnected$$.ctor,"void NetWorkUnit_OnConnected___ctor (NetWorkUnit_OnConnected_o* __this, Il2CppObject* object, intptr_t method, const MethodInfo* method);"
12791288,NetWorkUnit.OnConnected$$Invoke,"void NetWorkUnit_OnConnected__Invoke (NetWorkUnit_OnConnected_o* __this, uint32_t id, const MethodInfo* method);"
12791308,NetWorkUnit.OnConnected$$BeginInvoke,"System_IAsyncResult_o* NetWorkUnit_OnConnected__BeginInvoke (NetWorkUnit_OnConnected_o* __this, uint32_t id, System_AsyncCallback_o* callback, Il2CppObject* object, const MethodInfo* method);"
12791440,NetWorkUnit.OnConnected$$EndInvoke,"void NetWorkUnit_OnConnected__EndInvoke (NetWorkUnit_OnConnected_o* __this, System_IAsyncResult_o* result, const MethodInfo* method);"
12791452,NetWorkUnit.OnCommunicated$$.ctor,"void NetWorkUnit_OnCommunicated___ctor (NetWorkUnit_OnCommunicated_o* __this, Il2CppObject* object, intptr_t method, const MethodInfo* method);"
12791648,NetWorkUnit.OnCommunicated$$Invoke,"void NetWorkUnit_OnCommunicated__Invoke (NetWorkUnit_OnCommunicated_o* __this, uint32_t id, const MethodInfo* method);"
12791668,NetWorkUnit.OnCommunicated$$BeginInvoke,"System_IAsyncResult_o* NetWorkUnit_OnCommunicated__BeginInvoke (NetWorkUnit_OnCommunicated_o* __this, uint32_t id, System_AsyncCallback_o* callback, Il2CppObject* object, const MethodInfo* method);"
12791800,NetWorkUnit.OnCommunicated$$EndInvoke,"void NetWorkUnit_OnCommunicated__EndInvoke (NetWorkUnit_OnCommunicated_o* __this, System_IAsyncResult_o* result, const MethodInfo* method);"
12791812,NetWorkUnit.OnDisconnect$$.ctor,"void NetWorkUnit_OnDisconnect___ctor (NetWorkUnit_OnDisconnect_o* __this, Il2CppObject* object, intptr_t method, const MethodInfo* method);"
12792000,NetWorkUnit.OnDisconnect$$Invoke,"void NetWorkUnit_OnDisconnect__Invoke (NetWorkUnit_OnDisconnect_o* __this, const MethodInfo* method);"
12792020,NetWorkUnit.OnDisconnect$$BeginInvoke,"System_IAsyncResult_o* NetWorkUnit_OnDisconnect__BeginInvoke (NetWorkUnit_OnDisconnect_o* __this, System_AsyncCallback_o* callback, Il2CppObject* object, const MethodInfo* method);"
12792052,NetWorkUnit.OnDisconnect$$EndInvoke,"void NetWorkUnit_OnDisconnect__EndInvoke (NetWorkUnit_OnDisconnect_o* __this, System_IAsyncResult_o* result, const MethodInfo* method);"
