protocel_key,func_id,in_protocol,in_lua,lua_files
2,158,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,159,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,160,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,162,table_B,N,
2,163,table_B,N,
2,164,table_B,N,
2,171,table_B,N,
2,172,table_B,N,
2,173,table_B,N,
2,176,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,181,table_B,N,
2,182,table_B,N,
2,183,table_B,N,
2,184,table_B,N,
2,185,table_B,N,
2,186,table_B,N,
2,187,table_B,N,
2,191,table_B,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,192,table_B,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,193,table_B,Y,gui.windows.disciple.uidisciplecontroller_spdisciple.lua;gui.windows.disciple.uidisciplecontroller_spdisciple.lua
2,194,table_B,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,195,table_B,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,196,table_B,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,197,table_B,N,
2,198,table_B,N,
2,199,table_B,N,
2,200,table_B,N,
2,201,table_B,N,
2,202,table_B,Y,gui.windows.disciple.uidisciplecontroller_daoyan.lua;gui.windows.disciple.uidisciplecontroller_daoyan.lua
2,203,table_B,N,
2,204,table_B,N,
3,1,table_A,N,
3,2,table_A,N,
3,4,table_A,N,
3,5,table_A,N,
3,6,table_A,N,
3,8,table_A,N,
3,10,table_A,N,
3,11,table_A,N,
3,14,table_A,N,
3,15,table_A,N,
3,18,table_A,N,
3,21,table_A,N,
3,22,table_A,N,
3,23,table_A,N,
3,24,table_A,N,
3,31,table_A,N,
3,32,table_A,N,
3,33,table_A,N,
3,34,table_A,N,
3,35,table_A,N,
3,36,table_A,N,
3,37,table_A,N,
3,38,table_A,N,
3,39,table_A,N,
3,40,table_A,N,
3,41,table_A,N,
3,42,table_A,N,
3,43,table_A,N,
3,44,table_A,N,
3,45,table_A,N,
3,46,table_A,N,
3,47,table_A,N,
3,48,table_A,N,
3,49,table_A,N,
3,50,table_A,N,
3,51,table_A,N,
3,53,table_A,N,
3,54,table_A,N,
3,56,table_A,N,
3,58,table_A,N,
3,60,table_A,N,
3,61,table_A,N,
3,62,table_A,N,
3,63,table_A,N,
3,64,table_A,N,
3,68,table_A,N,
3,69,table_A,N,
3,71,table_A,N,
3,72,table_A,N,
3,75,table_A,N,
3,76,table_A,N,
3,77,table_A,N,
3,78,table_A,N,
3,79,table_A,N,
3,80,table_A,N,
3,81,table_A,N,
3,82,table_A,N,
3,83,table_A,N,
3,84,table_A,N,
3,85,table_A,N,
3,86,table_A,N,
3,87,table_A,N,
3,88,table_A,N,
3,99,table_A,N,
3,100,table_A,N,
3,101,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,102,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,103,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,104,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,105,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,106,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,107,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,108,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,109,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
